Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,DRB%,Def_FT/FGA,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Houston Rockets,29.8,65.0,17.0,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,82,19755,39.5,86.0,0.46,15.6,43.2,0.362,23.9,42.8,0.558,20.0,25.7,0.781,9.2,35.2,44.4,22.0,8.7,4.9,14.1,19.9,114.7,2018
Toronto Raptors,25.8,59.0,23.0,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23.0,0.198,0.501,13.0,77.7,0.212,82,19830,42.0,89.1,0.472,12.0,33.6,0.358,30.0,55.5,0.541,17.7,22.2,0.794,9.9,34.9,44.8,24.8,7.8,6.2,13.6,22.2,113.8,2018
Golden State Warriors,28.8,58.0,24.0,56,26,5.98,-0.19,5.79,113.6,107.7,5.9,99.6,0.239,0.339,0.603,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.186,82,19730,42.9,85.3,0.503,11.3,28.9,0.391,31.6,56.3,0.56,16.6,20.4,0.815,8.4,35.1,43.6,29.3,8.0,7.5,15.5,19.6,113.6,2018
Utah Jazz,26.7,48.0,34.0,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14.0,79.8,0.19,82,19755,39.8,86.3,0.462,11.3,30.8,0.366,28.6,55.5,0.515,17.5,22.4,0.779,9.4,35.6,45.0,23.3,9.0,5.3,15.3,20.4,108.4,2018
Philadelphia 76ers,25.8,52.0,30.0,53,29,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,82,19780,40.7,86.3,0.472,11.0,29.7,0.369,29.8,56.6,0.526,17.1,22.7,0.752,10.9,36.4,47.3,27.0,8.3,5.1,16.4,22.0,109.5,2018
Boston Celtics,24.7,55.0,27.0,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.357,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,82,19805,39.6,88.0,0.45,11.8,31.4,0.377,27.8,56.6,0.491,16.5,21.4,0.771,9.7,36.3,46.0,23.2,7.6,4.7,14.5,20.4,107.6,2018
Oklahoma City Thunder,27.3,48.0,34.0,50,32,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,82,19830,40.9,90.4,0.453,11.0,31.2,0.354,29.9,59.2,0.505,17.8,24.8,0.716,12.8,33.4,46.2,21.9,9.3,5.2,14.4,20.7,110.7,2018
San Antonio Spurs,29.3,47.0,35.0,49,33,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,82,19730,41.0,89.6,0.457,8.9,25.3,0.352,32.1,64.3,0.499,17.0,22.0,0.772,10.9,35.6,46.4,23.9,8.0,5.9,13.8,18.0,107.9,2018
Portland Trail Blazers,25.6,49.0,33.0,48,34,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,82,19755,40.6,89.8,0.452,10.6,29.1,0.366,29.9,60.7,0.493,17.3,21.6,0.8,10.5,36.4,46.9,20.1,7.2,5.3,14.0,20.1,109.1,2018
Minnesota Timberwolves,27.1,47.0,35.0,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,82,19805,42.5,89.2,0.476,8.3,23.3,0.357,34.2,65.9,0.519,20.1,25.0,0.804,10.7,32.7,43.4,23.5,8.7,4.4,12.9,18.9,113.4,2018
